BARELLA,Cagliari,CENTROCAMPISTA,10
FARAGO,Cagliari,CENTROCAMPISTA,10
CASTRO,Chievo,CENTROCAMPISTA,10
VECINO,Inter,CENTROCAMPISTA,10
MARUSIC,Lazio,CENTROCAMPISTA,10
FLORENZI,Roma,CENTROCAMPISTA,10
STROOTMAN,Roma,CENTROCAMPISTA,10
LINETTY,Sampdoria,CENTROCAMPISTA,10
MISSIROLI,Sassuolo,CENTROCAMPISTA,10
BASELLI,Torino,CENTROCAMPISTA,10
BENASSI,Fiorentina,CENTROCAMPISTA,10
TAARABT,Genoa,CENTROCAMPISTA,10
BERARDI,Sassuolo,ATTACCANTE,10
MATRI,Sassuolo,ATTACCANTE,10
MILIK,Napoli,ATTACCANTE,10
BUDIMIR,Crotone,ATTACCANTE,10
TROTTA,Crotone,ATTACCANTE,10
CACERES,Lazio,DIFENSORE,9
NUYTINCK,Udinese,DIFENSORE,9
WIDMER,Udinese,DIFENSORE,9
HYSAJ,Napoli,DIFENSORE,9
LUKAKU J,Lazio,DIFENSORE,9
D'AMBROSIO,Inter,DIFENSORE,9
MIRANDA,Inter,DIFENSORE,9
PADOIN,Cagliari,DIFENSORE,9
D'ALESSANDRO,Benevento,CENTROCAMPISTA,9
DONSAH,Bologna,CENTROCAMPISTA,9
IONITA,Cagliari,CENTROCAMPISTA,9
HETEMAJ,Chievo,CENTROCAMPISTA,9
LAXALT,Genoa,CENTROCAMPISTA,9
BROZOVIC,Inter,CENTROCAMPISTA,9
JOAO MARIO,Inter,CENTROCAMPISTA,9
JORGINHO,Napoli,CENTROCAMPISTA,9
VIVIANI,SPAL,CENTROCAMPISTA,9
FOFANA,Udinese,CENTROCAMPISTA,9
EYSSERIC,Fiorentina,CENTROCAMPISTA,9
BAJIC,Udinese,ATTACCANTE,9
VERDE,Verona,ATTACCANTE,9
ROSSI,Genoa,ATTACCANTE,9
DEFREL,Roma,ATTACCANTE,9
ANDRE' SILVA,Milan,ATTACCANTE,9
NIANG,Torino,ATTACCANTE,9
EDER,Inter,ATTACCANTE,9
SAU,Cagliari,ATTACCANTE,9
CODA M,Benevento,ATTACCANTE,9
CRAGNO,Cagliari,PORTIERE,8
BIRAGHI,Fiorentina,DIFENSORE,8
PELUSO,Sassuolo,DIFENSORE,8
SILVESTRE,Sampdoria,DIFENSORE,8
ROMAGNOLI A,Milan,DIFENSORE,8
BASTOS,Lazio,DIFENSORE,8
BARZAGLI,Juventus,DIFENSORE,8
RUGANI,Juventus,DIFENSORE,8
IZZO,Genoa,DIFENSORE,8
ZUKANOVIC,Genoa,DIFENSORE,8
HATEBOER,Atalanta,DIFENSORE,8
KURTIC,SPAL,CENTROCAMPISTA,8
DI FRANCESCO F,Bologna,CENTROCAMPISTA,8
BADELJ,Fiorentina,CENTROCAMPISTA,8
BERTOLACCI,Genoa,CENTROCAMPISTA,8
RIGONI L,Genoa,CENTROCAMPISTA,8
RINCON,Torino,CENTROCAMPISTA,8
GRASSI,SPAL,CENTROCAMPISTA,8
BERENGUER,Torino,CENTROCAMPISTA,8
DE ROON,Atalanta,CENTROCAMPISTA,8
ARMENTEROS,Benevento,ATTACCANTE,8
CAICEDO,Lazio,ATTACCANTE,8
PERICA,Udinese,ATTACCANTE,8
PANDEV,Genoa,ATTACCANTE,8
PELLISSIER,Chievo,ATTACCANTE,8
MIRANTE,Bologna,PORTIERE,7
CORDAZ,Crotone,PORTIERE,7
SZCZESNY,Juventus,PORTIERE,7
VIVIANO,Sampdoria,PORTIERE,7
BIZZARRI,Udinese,PORTIERE,7
CANCELO,Inter,DIFENSORE,7
SPOLLI,Genoa,DIFENSORE,7
ROMAGNA,Cagliari,DIFENSORE,7
ADNAN,Udinese,DIFENSORE,7
DANILO,Udinese,DIFENSORE,7
FERRARI G,Sampdoria,DIFENSORE,7
LIROLA,Sassuolo,DIFENSORE,7
CONTI,Milan,DIFENSORE,7
RADU,Lazio,DIFENSORE,7
DE SCIGLIO,Juventus,DIFENSORE,7
LICHTSTEINER,Juventus,DIFENSORE,7
CECCHERINI,Crotone,DIFENSORE,7
GAMBERINI,Chievo,DIFENSORE,7
ANDREOLLI,Cagliari,DIFENSORE,7
PISACANE,Cagliari,DIFENSORE,7
TAIDER,Bologna,CENTROCAMPISTA,7
RADOVANOVIC,Chievo,CENTROCAMPISTA,7
ROHDEN,Crotone,CENTROCAMPISTA,7
STOIAN,Crotone,CENTROCAMPISTA,7
MIGUEL VELOSO,Genoa,CENTROCAMPISTA,7
GAGLIARDINI,Inter,CENTROCAMPISTA,7
MANDRAGORA,Crotone,CENTROCAMPISTA,7
BIGLIA,Milan,CENTROCAMPISTA,7
DIAWARA,Napoli,CENTROCAMPISTA,7
RIZZO,Atalanta,CENTROCAMPISTA,7
SCHIATTARELLA,SPAL,CENTROCAMPISTA,7
OBI,Torino,CENTROCAMPISTA,7
BESSA,Verona,CENTROCAMPISTA,7
ZUCULINI B,Verona,CENTROCAMPISTA,7
GIL DIAS,Fiorentina,CENTROCAMPISTA,7
BOYE',Torino,ATTACCANTE,7
FLOCCARI,SPAL,ATTACCANTE,7
RAGUSA,Sassuolo,ATTACCANTE,7
KOWNACKI,Sampdoria,ATTACCANTE,7
